,target,ert,fid,dim,algorithm
34,-4.800000000000001,46.0,5,10,SLSQP
35,-5.0,46.0,5,10,SLSQP
36,-5.2,46.0,5,10,SLSQP
37,-5.4,46.0,5,10,SLSQP
38,-5.6000000000000005,46.0,5,10,SLSQP
39,-5.800000000000001,46.0,5,10,SLSQP
40,-6.0,46.0,5,10,SLSQP
41,-6.200000000000001,46.0,5,10,SLSQP
42,-6.4,46.0,5,10,SLSQP
43,-6.6,46.0,5,10,SLSQP
44,-6.800000000000001,46.0,5,10,SLSQP
45,-7.0,46.0,5,10,SLSQP
46,-7.200000000000001,46.0,5,10,SLSQP
47,-7.4,46.0,5,10,SLSQP
48,-7.600000000000001,46.0,5,10,SLSQP
49,-7.800000000000001,46.0,5,10,SLSQP
50,-8.0,46.0,5,10,SLSQP
0,2.0,35.0,5,10,L-BFGS-B
1,1.8,35.0,5,10,L-BFGS-B
2,1.6,35.0,5,10,L-BFGS-B
3,1.4,35.0,5,10,L-BFGS-B
4,1.2,46.0,5,10,L-BFGS-B
5,1.0,46.0,5,10,L-BFGS-B
6,0.7999999999999998,46.0,5,10,L-BFGS-B
7,0.5999999999999999,57.0,5,10,L-BFGS-B
8,0.3999999999999999,57.0,5,10,L-BFGS-B
9,0.19999999999999998,57.0,5,10,L-BFGS-B
10,0.0,57.0,5,10,L-BFGS-B
11,-0.20000000000000015,57.0,5,10,L-BFGS-B
12,-0.40000000000000036,57.0,5,10,L-BFGS-B
13,-0.6000000000000001,57.0,5,10,L-BFGS-B
14,-0.8000000000000003,57.0,5,10,L-BFGS-B
15,-1.0,57.0,5,10,L-BFGS-B
16,-1.2000000000000002,57.0,5,10,L-BFGS-B
17,-1.4000000000000004,57.0,5,10,L-BFGS-B
18,-1.6,57.0,5,10,L-BFGS-B
19,-1.8000000000000003,57.0,5,10,L-BFGS-B
20,-2.0,57.0,5,10,L-BFGS-B
21,-2.2,57.0,5,10,L-BFGS-B
22,-2.4000000000000004,57.0,5,10,L-BFGS-B
23,-2.6000000000000005,57.0,5,10,L-BFGS-B
24,-2.8000000000000007,57.0,5,10,L-BFGS-B
25,-3.0,57.0,5,10,L-BFGS-B
26,-3.2,57.0,5,10,L-BFGS-B
27,-3.4000000000000004,57.0,5,10,L-BFGS-B
28,-3.6000000000000005,57.0,5,10,L-BFGS-B
29,-3.8000000000000007,57.0,5,10,L-BFGS-B
30,-4.0,57.0,5,10,L-BFGS-B
31,-4.2,57.0,5,10,L-BFGS-B
32,-4.4,57.0,5,10,L-BFGS-B
33,-4.6000000000000005,57.0,5,10,L-BFGS-B
34,-4.800000000000001,57.0,5,10,L-BFGS-B
35,-5.0,57.0,5,10,L-BFGS-B
36,-5.2,57.0,5,10,L-BFGS-B
37,-5.4,57.0,5,10,L-BFGS-B
38,-5.6000000000000005,57.0,5,10,L-BFGS-B
39,-5.800000000000001,57.0,5,10,L-BFGS-B
40,-6.0,57.0,5,10,L-BFGS-B
41,-6.200000000000001,57.0,5,10,L-BFGS-B
42,-6.4,57.0,5,10,L-BFGS-B
43,-6.6,57.0,5,10,L-BFGS-B
44,-6.800000000000001,57.0,5,10,L-BFGS-B
45,-7.0,57.0,5,10,L-BFGS-B
46,-7.200000000000001,57.0,5,10,L-BFGS-B
47,-7.4,57.0,5,10,L-BFGS-B
48,-7.600000000000001,57.0,5,10,L-BFGS-B
49,-7.800000000000001,57.0,5,10,L-BFGS-B
50,-8.0,57.0,5,10,L-BFGS-B
0,2.0,26.066666666666666,5,10,default
1,1.8,41.666666666666664,5,10,default
2,1.6,58.733333333333334,5,10,default
3,1.4,73.93333333333334,5,10,default
4,1.2,83.13333333333334,5,10,default
5,1.0,95.26666666666667,5,10,default
6,0.7999999999999998,107.4,5,10,default
7,0.5999999999999999,113.86666666666666,5,10,default
8,0.3999999999999999,117.0,5,10,default
9,0.19999999999999998,120.13333333333334,5,10,default
10,0.0,120.13333333333334,5,10,default
11,-0.20000000000000015,122.86666666666666,5,10,default
12,-0.40000000000000036,123.4,5,10,default
13,-0.6000000000000001,123.8,5,10,default
14,-0.8000000000000003,123.8,5,10,default
15,-1.0,123.8,5,10,default
16,-1.2000000000000002,124.06666666666666,5,10,default
17,-1.4000000000000004,124.06666666666666,5,10,default
18,-1.6,124.06666666666666,5,10,default
19,-1.8000000000000003,124.06666666666666,5,10,default
20,-2.0,124.06666666666666,5,10,default
21,-2.2,124.06666666666666,5,10,default
22,-2.4000000000000004,124.06666666666666,5,10,default
23,-2.6000000000000005,124.06666666666666,5,10,default
24,-2.8000000000000007,124.06666666666666,5,10,default
25,-3.0,124.06666666666666,5,10,default
26,-3.2,124.06666666666666,5,10,default
27,-3.4000000000000004,124.06666666666666,5,10,default
28,-3.6000000000000005,124.06666666666666,5,10,default
29,-3.8000000000000007,124.06666666666666,5,10,default
30,-4.0,124.06666666666666,5,10,default
31,-4.2,124.06666666666666,5,10,default
32,-4.4,124.06666666666666,5,10,default
33,-4.6000000000000005,124.06666666666666,5,10,default
34,-4.800000000000001,124.06666666666666,5,10,default
35,-5.0,124.06666666666666,5,10,default
36,-5.2,124.06666666666666,5,10,default
37,-5.4,124.06666666666666,5,10,default
38,-5.6000000000000005,124.06666666666666,5,10,default
39,-5.800000000000001,124.06666666666666,5,10,default
40,-6.0,124.06666666666666,5,10,default
41,-6.200000000000001,124.06666666666666,5,10,default
42,-6.4,124.06666666666666,5,10,default
43,-6.6,124.06666666666666,5,10,default
44,-6.800000000000001,124.06666666666666,5,10,default
45,-7.0,124.06666666666666,5,10,default
46,-7.200000000000001,124.06666666666666,5,10,default
47,-7.4,124.06666666666666,5,10,default
48,-7.600000000000001,124.06666666666666,5,10,default
49,-7.800000000000001,124.06666666666666,5,10,default
50,-8.0,124.06666666666666,5,10,default
0,2.0,41.46666666666667,5,10,2L
1,1.8,65.2,5,10,2L
2,1.6,87.06666666666666,5,10,2L
3,1.4,107.13333333333334,5,10,2L
4,1.2,125.86666666666666,5,10,2L
5,1.0,134.6,5,10,2L
6,0.7999999999999998,158.4,5,10,2L
7,0.5999999999999999,165.4,5,10,2L
8,0.3999999999999999,168.73333333333332,5,10,2L
9,0.19999999999999998,171.33333333333334,5,10,2L
10,0.0,171.33333333333334,5,10,2L
11,-0.20000000000000015,173.6,5,10,2L
12,-0.40000000000000036,173.6,5,10,2L
13,-0.6000000000000001,173.6,5,10,2L
14,-0.8000000000000003,173.86666666666667,5,10,2L
15,-1.0,173.86666666666667,5,10,2L
16,-1.2000000000000002,173.86666666666667,5,10,2L
17,-1.4000000000000004,173.86666666666667,5,10,2L
18,-1.6,173.86666666666667,5,10,2L
19,-1.8000000000000003,173.86666666666667,5,10,2L
20,-2.0,173.86666666666667,5,10,2L
21,-2.2,173.86666666666667,5,10,2L
22,-2.4000000000000004,173.86666666666667,5,10,2L
23,-2.6000000000000005,173.86666666666667,5,10,2L
24,-2.8000000000000007,173.86666666666667,5,10,2L
25,-3.0,173.86666666666667,5,10,2L
26,-3.2,173.86666666666667,5,10,2L
27,-3.4000000000000004,173.86666666666667,5,10,2L
28,-3.6000000000000005,173.86666666666667,5,10,2L
29,-3.8000000000000007,173.86666666666667,5,10,2L
30,-4.0,173.86666666666667,5,10,2L
31,-4.2,173.86666666666667,5,10,2L
32,-4.4,173.86666666666667,5,10,2L
33,-4.6000000000000005,173.86666666666667,5,10,2L
34,-4.800000000000001,173.86666666666667,5,10,2L
35,-5.0,173.86666666666667,5,10,2L
36,-5.2,173.86666666666667,5,10,2L
37,-5.4,173.86666666666667,5,10,2L
38,-5.6000000000000005,173.86666666666667,5,10,2L
39,-5.800000000000001,173.86666666666667,5,10,2L
40,-6.0,173.86666666666667,5,10,2L
41,-6.200000000000001,173.86666666666667,5,10,2L
42,-6.4,173.86666666666667,5,10,2L
43,-6.6,173.86666666666667,5,10,2L
44,-6.800000000000001,173.86666666666667,5,10,2L
45,-7.0,173.86666666666667,5,10,2L
46,-7.200000000000001,173.86666666666667,5,10,2L
47,-7.4,173.86666666666667,5,10,2L
48,-7.600000000000001,173.86666666666667,5,10,2L
49,-7.800000000000001,173.86666666666667,5,10,2L
50,-8.0,173.86666666666667,5,10,2L
0,2.0,62.06666666666667,5,10,4L
1,1.8,95.93333333333334,5,10,4L
2,1.6,132.73333333333332,5,10,4L
3,1.4,165.4,5,10,4L
4,1.2,182.6,5,10,4L
5,1.0,201.86666666666667,5,10,4L
6,0.7999999999999998,232.2,5,10,4L
7,0.5999999999999999,242.2,5,10,4L
8,0.3999999999999999,250.93333333333334,5,10,4L
9,0.19999999999999998,260.8666666666667,5,10,4L
10,0.0,260.8666666666667,5,10,4L
11,-0.20000000000000015,261.4,5,10,4L
12,-0.40000000000000036,261.4,5,10,4L
13,-0.6000000000000001,261.4,5,10,4L
14,-0.8000000000000003,261.4,5,10,4L
15,-1.0,261.4,5,10,4L
16,-1.2000000000000002,261.4,5,10,4L
17,-1.4000000000000004,261.4,5,10,4L
18,-1.6,261.4,5,10,4L
19,-1.8000000000000003,261.4,5,10,4L
20,-2.0,261.4,5,10,4L
21,-2.2,261.4,5,10,4L
22,-2.4000000000000004,261.4,5,10,4L
23,-2.6000000000000005,261.4,5,10,4L
24,-2.8000000000000007,261.4,5,10,4L
25,-3.0,261.4,5,10,4L
26,-3.2,261.4,5,10,4L
27,-3.4000000000000004,261.4,5,10,4L
28,-3.6000000000000005,261.4,5,10,4L
29,-3.8000000000000007,261.4,5,10,4L
30,-4.0,261.4,5,10,4L
31,-4.2,261.4,5,10,4L
32,-4.4,261.4,5,10,4L
33,-4.6000000000000005,261.4,5,10,4L
34,-4.800000000000001,261.4,5,10,4L
35,-5.0,261.4,5,10,4L
36,-5.2,261.4,5,10,4L
37,-5.4,261.4,5,10,4L
38,-5.6000000000000005,261.4,5,10,4L
39,-5.800000000000001,261.4,5,10,4L
40,-6.0,261.4,5,10,4L
41,-6.200000000000001,261.4,5,10,4L
42,-6.4,261.4,5,10,4L
43,-6.6,261.4,5,10,4L
44,-6.800000000000001,261.4,5,10,4L
45,-7.0,261.4,5,10,4L
46,-7.200000000000001,261.4,5,10,4L
47,-7.4,261.4,5,10,4L
48,-7.600000000000001,261.4,5,10,4L
49,-7.800000000000001,261.4,5,10,4L
50,-8.0,261.4,5,10,4L
0,2.0,100.6,5,10,8L
1,1.8,170.8,5,10,8L
2,1.6,219.53333333333333,5,10,8L
3,1.4,273.73333333333335,5,10,8L
4,1.2,315.26666666666665,5,10,8L
5,1.0,332.8666666666667,5,10,8L
6,0.7999999999999998,400.8666666666667,5,10,8L
7,0.5999999999999999,406.6666666666667,5,10,8L
8,0.3999999999999999,410.26666666666665,5,10,8L
9,0.19999999999999998,412.0,5,10,8L
10,0.0,412.0,5,10,8L
11,-0.20000000000000015,415.53333333333336,5,10,8L
12,-0.40000000000000036,415.53333333333336,5,10,8L
13,-0.6000000000000001,415.53333333333336,5,10,8L
14,-0.8000000000000003,415.53333333333336,5,10,8L
15,-1.0,415.53333333333336,5,10,8L
16,-1.2000000000000002,415.53333333333336,5,10,8L
17,-1.4000000000000004,415.53333333333336,5,10,8L
18,-1.6,415.53333333333336,5,10,8L
19,-1.8000000000000003,415.53333333333336,5,10,8L
20,-2.0,415.53333333333336,5,10,8L
21,-2.2,415.53333333333336,5,10,8L
22,-2.4000000000000004,415.53333333333336,5,10,8L
23,-2.6000000000000005,415.53333333333336,5,10,8L
24,-2.8000000000000007,415.53333333333336,5,10,8L
25,-3.0,415.53333333333336,5,10,8L
26,-3.2,415.53333333333336,5,10,8L
27,-3.4000000000000004,415.53333333333336,5,10,8L
28,-3.6000000000000005,415.53333333333336,5,10,8L
29,-3.8000000000000007,415.53333333333336,5,10,8L
