algorithm,expected_evals,dim
default,27.587493153325738,3
default,27.531541534243665,3
default,27.47570818824433,3
default,27.41999282067558,3
default,27.364395138111224,3
default,27.308914848339768,3
default,27.253551660353214,3
default,27.198305284336048,3
default,27.14317543165443,3
default,27.088161814845574,3
default,27.033264147607174,3
default,26.97848214478713,3
default,26.923815522373417,3
default,26.869263997483984,3
default,26.814827288356966,3
default,26.76050511434092,3
default,26.706297195885305,3
default,26.652203254531024,3
default,26.59822301290118,3
default,26.544356194691904,3
default,26.490602524663363,3
default,26.436961728630894,3
default,26.383433533456234,3
default,26.330017667038938,3
default,26.27671385830787,3
default,26.223521837212832,3
default,26.17044133471635,3
default,26.11747208278549,3
default,26.064613814383893,3
default,26.011866263463876,3
default,25.95922916495862,3
default,25.90670225477448,3
default,25.854285269783492,3
default,25.80197794781581,3
default,25.74978002765241,3
default,25.697691249017836,3
