problem_id,16L,2L,32L,4L,64L,8L,L-BFGS-B,Powell,SLSQP,default
f04-d02-t0.0,0.788,0.3,0.934,0.388,1.0,0.574,0.032,0.848,0.06,0.242
f04-d02-t0.2,0.912,0.39,0.996,0.526,1.0,0.7,0.032,0.848,0.06,0.292
f04-d02-t0.4,0.97,0.578,1.0,0.714,1.0,0.846,0.058,0.854,0.09,0.45
f04-d02-t0.6,1.0,0.886,1.0,0.97,1.0,0.994,0.102,0.932,0.14,0.716
f04-d02-t0.8,1.0,0.992,1.0,1.0,1.0,1.0,0.184,0.948,0.226,0.94
f04-d02-t1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.296,0.974,0.376,0.978
f04-d02-t1.2,1.0,1.0,1.0,1.0,1.0,1.0,0.358,0.976,0.442,0.986
f04-d02-t1.4,1.0,1.0,1.0,1.0,1.0,1.0,0.506,1.0,0.622,0.996
f04-d02-t1.6,1.0,1.0,1.0,1.0,1.0,1.0,0.654,1.0,0.758,1.0
f04-d02-t1.8,1.0,1.0,1.0,1.0,1.0,1.0,0.744,1.0,0.824,1.0
f04-d02-t2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.91,1.0,0.916,1.0
f05-d02-t-0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
f05-d02-t-0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
f05-d02-t-0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
f05-d02-t-0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
f05-d02-t-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
f05-d02-t-1.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
f05-d02-t-1.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
