problem_id,16L,2L,32L,4L,64L,8L,L-BFGS-B,Powell,SLSQP,default
f03-d05-t-5.4,9936.806,2711.946,18316.44,4454.13,42688.062,6860.846,148.032,247.074,126.366,1828.356
f03-d05-t-5.6,9948.768,2712.646,18330.64,4455.362,42692.89,6865.462,148.032,247.074,126.366,1828.508
f03-d05-t-5.8,9956.048,2713.486,18346.606,4456.482,42702.12,6867.916,148.032,247.074,126.366,1828.612
f03-d05-t-6.0,9963.37,2714.034,18361.71,4457.94,42707.964,6871.182,148.032,247.074,126.366,1828.638
f03-d05-t-6.2,9973.028,2715.02,18371.984,4459.192,42712.55,6874.974,148.032,247.074,126.366,1828.796
f03-d05-t-6.4,9982.248,2715.37,18388.904,4460.386,42720.716,6879.274,148.032,247.074,126.366,1828.814
f03-d05-t-6.6,9992.346,2715.768,18400.714,4462.22,42726.52,6882.578,148.032,247.078,126.366,1828.958
f03-d05-t-6.8,9998.978,2716.604,18417.204,4463.476,42731.946,6887.316,148.032,247.246,126.366,1829.22
f03-d05-t-7.0,10010.21,2717.24,18430.53,4464.08,42737.93,6892.53,148.032,247.246,126.366,1829.474
f03-d05-t-7.2,10017.844,2717.902,18447.33,4465.41,42744.632,6896.138,148.032,247.246,126.366,1829.622
f03-d05-t-7.4,10027.392,2718.918,18463.918,4466.158,42751.92,6900.718,148.032,247.248,126.366,1829.872
f03-d05-t-7.6,10035.216,2719.89,18474.842,4467.568,42759.384,6904.25,148.032,247.248,126.366,1830.006
f03-d05-t-7.8,10043.806,2720.492,18492.232,4469.92,42766.246,6908.818,148.032,247.248,126.366,1830.096
f03-d05-t-8.0,10052.496,2721.294,18506.342,4470.63,42774.924,6912.836,148.032,247.248,126.366,1830.36
f03-d05-t0.0,7847.092,2541.472,14264.546,3932.71,35058.284,5756.356,148.032,244.506,126.366,1784.358
f03-d05-t0.2,7253.902,2517.352,12589.308,3840.134,28683.988,5493.322,148.032,242.806,126.366,1777.004
f03-d05-t0.4,4999.848,2150.142,8076.76,2884.86,16240.574,3865.188,148.032,229.02,126.366,1660.572
f03-d05-t0.6,3566.226,1583.54,5832.216,2043.534,11399.54,2693.238,147.738,209.346,126.134,1446.7
f03-d05-t0.8,2773.156,1182.72,4245.186,1519.616,7490.88,2066.6,147.464,180.21,125.436,1178.22
f03-d05-t1.0,1815.252,747.568,2665.276,1028.348,4574.27,1384.332,146.966,152.398,124.118,794.954
f03-d05-t1.2,1174.376,477.484,1789.884,623.742,3213.148,884.89,144.95,116.422,121.316,451.966
f03-d05-t1.4,818.672,284.718,1273.028,408.926,2305.416,588.868,141.99,81.056,116.136,231.246
f03-d05-t1.6,545.858,170.782,846.448,264.878,1472.536,391.966,132.014,55.53,105.016,124.67
f03-d05-t1.8,292.376,94.464,434.45,145.422,721.642,211.67,112.136,44.802,82.92,62.722
f03-d05-t2.0,126.93,42.05,189.02,63.454,299.766,86.002,76.65,35.618,50.952,31.236
f04-d05-t-0.2,11113.984,2823.2,20334.592,4623.04,46087.168,7209.6,153.516,317.582,124.1,1876.176
f04-d05-t-0.4,11113.984,2823.2,20334.592,4623.04,46087.168,7209.6,153.516,317.582,124.1,1876.176
f04-d05-t-0.6,11113.984,2823.2,20334.592,4623.04,46087.168,7209.6,153.516,317.626,124.1,1876.176
f04-d05-t-0.8,11113.984,2823.2,20334.592,4623.04,46087.168,7209.6,153.516,317.656,124.1,1876.176
f04-d05-t-1.0,11113.984,2823.2,20334.592,4623.04,46087.168,7209.6,153.516,317.664,124.1,1876.176
f04-d05-t-1.2,11113.984,2823.2,20334.592,4623.04,46087.168,7209.6,153.516,317.732,124.1,1876.176
f04-d05-t-1.4,11113.984,2823.2,20334.592,4623.04,46087.168,7209.6,153.516,317.87,124.1,1876.176
f04-d05-t-1.6,11113.984,2823.2,20334.592,4623.04,46087.168,7209.6,153.516,317.872,124.1,1876.176
f04-d05-t-1.8,11113.984,2823.2,20334.592,4623.04,46087.168,7209.6,153.516,318.59,124.1,1876.176
f04-d05-t-2.0,11113.984,2823.2,20334.592,4623.04,46087.168,7209.6,153.516,318.638,124.1,1876.176
f04-d05-t-2.2,11113.984,2823.2,20334.592,4623.04,46087.168,7209.6,153.516,318.792,124.1,1876.176
f04-d05-t-2.4,11113.984,2823.2,20334.592,4623.04,46087.168,7209.6,153.516,318.882,124.1,1876.176
f04-d05-t-2.6,11113.984,2823.2,20334.592,4623.04,46087.168,7209.6,153.516,318.896,124.1,1876.176
f04-d05-t-2.8,11113.984,2823.2,20334.592,4623.04,46087.168,7209.6,153.516,318.902,124.1,1876.176
f04-d05-t-3.0,11113.984,2823.2,20334.592,4623.04,46087.168,7209.6,153.516,318.902,124.1,1876.176
f04-d05-t-3.2,11113.984,2823.2,20334.592,4623.04,46087.168,7209.6,153.516,318.906,124.1,1876.176
f04-d05-t-3.4,11113.984,2823.2,20334.592,4623.04,46087.168,7209.6,153.516,318.918,124.1,1876.176
f04-d05-t-3.6,11113.984,2823.2,20334.592,4623.04,46087.168,7209.6,153.516,318.922,124.1,1876.176
f04-d05-t-3.8,11113.984,2823.2,20334.592,4623.04,46087.168,7209.6,153.516,319.29,124.1,1876.176
f04-d05-t-4.0,11113.984,2823.2,20334.592,4623.04,46087.168,7209.6,153.516,319.294,124.1,1876.176
f04-d05-t-4.2,11113.984,2823.2,20334.592,4623.04,46087.168,7209.6,153.516,319.296,124.1,1876.176
f04-d05-t-4.4,11113.984,2823.2,20334.592,4623.04,46087.168,7209.6,153.516,319.296,124.1,1876.176
f04-d05-t-4.6,11113.984,2823.2,20334.592,4623.04,46087.168,7209.6,153.516,319.296,124.1,1876.176
f04-d05-t-4.8,11113.984,2823.2,20334.592,4623.04,46087.168,7209.6,153.516,319.3,124.1,1876.176
f04-d05-t-5.0,11113.984,2823.2,20334.592,4623.04,46087.168,7209.6,153.516,319.304,124.1,1876.176
f04-d05-t-5.2,11113.984,2823.2,20334.592,4623.04,46087.168,7209.6,153.516,319.554,124.1,1876.176
f04-d05-t-5.4,11113.984,2823.2,20334.592,4623.04,46087.168,7209.6,153.516,319.558,124.1,1876.176
f04-d05-t-5.6,11113.984,2823.2,20334.592,4623.04,46087.168,7209.6,153.516,319.562,124.1,1876.176
f04-d05-t-5.8,11113.984,2823.2,20334.592,4623.04,46087.168,7209.6,153.516,319.588,124.1,1876.176
f04-d05-t-6.0,11113.984,2823.2,20334.592,4623.04,46087.168,7209.6,153.516,320.068,124.1,1876.176
f04-d05-t-6.2,11113.984,2823.2,20334.592,4623.04,46087.168,7209.6,153.516,320.068,124.1,1876.176
f04-d05-t-6.4,11113.984,2823.2,20334.592,4623.04,46087.168,7209.6,153.516,320.068,124.1,1876.176
f04-d05-t-6.6,11113.984,2823.2,20334.592,4623.04,46087.168,7209.6,153.516,320.17,124.1,1876.176
f04-d05-t-6.8,11113.984,2823.2,20334.592,4623.04,46087.168,7209.6,153.516,320.228,124.1,1876.176
f04-d05-t-7.0,11113.984,2823.2,20334.592,4623.04,46087.168,7209.6,153.516,320.702,124.1,1876.176
f04-d05-t-7.2,11113.984,2823.2,20334.592,4623.04,46087.168,7209.6,153.516,320.926,124.1,1876.176
f04-d05-t-7.4,11113.984,2823.2,20334.592,4623.04,46087.168,7209.6,153.516,320.936,124.1,1876.176
f04-d05-t-7.6,11113.984,2823.2,20334.592,4623.04,46087.168,7209.6,153.516,320.944,124.1,1876.176
f04-d05-t-7.8,11113.984,2823.2,20334.592,4623.04,46087.168,7209.6,153.516,320.944,124.1,1876.176
